item_id,brand,brand_type,category
1,1,Established,7
2,1,Established,9
3,56,Local,2
4,56,Local,7
5,56,Local,7
6,56,Local,7
7,56,Local,12
8,56,Local,2
9,11,Local,7
10,56,Local,7
11,21,Established,12
12,56,Local,7
13,1,Established,7
14,56,Local,7
15,56,Local,7
16,56,Local,7
17,56,Local,7
18,56,Local,7
19,56,Local,12
20,56,Local,7
21,56,Local,7
22,56,Local,7
23,56,Local,7
24,56,Local,7
25,56,Local,7
26,56,Local,7
27,56,Local,7
28,56,Local,7
29,56,Local,7
30,56,Local,7
31,56,Local,7
32,56,Local,7
33,56,Local,7
34,56,Local,7
35,56,Local,7
36,56,Local,7
37,56,Local,7
38,56,Local,7
39,56,Local,7
40,56,Local,7
41,56,Local,7
42,56,Local,7
43,56,Local,7
44,56,Local,7
45,56,Local,7
46,56,Local,7
47,56,Local,7
48,56,Local,11
49,56,Local,7
50,56,Local,7
51,56,Local,16
52,56,Local,7
53,56,Local,2
54,56,Local,16
55,56,Local,7
56,56,Local,2
57,56,Local,7
58,56,Local,7
59,56,Local,10
60,56,Local,11
61,56,Local,7
62,56,Local,7
63,56,Local,7
64,56,Local,7
65,56,Local,10
66,56,Local,7
67,56,Local,7
68,56,Local,7
69,56,Local,2
70,56,Local,7
71,162,Established,7
72,56,Local,7
73,162,Established,7
74,56,Local,16
75,56,Local,7
76,209,Established,7
77,278,Established,7
78,56,Local,7
79,56,Local,7
80,56,Local,7
81,278,Established,7
82,56,Local,7
83,56,Local,7
84,56,Local,7
85,56,Local,7
86,162,Established,7
87,56,Local,16
88,56,Local,10
89,56,Local,16
90,56,Local,7
91,56,Local,12
92,56,Local,7
93,56,Local,12
94,56,Local,7
95,105,Established,7
96,56,Local,12
97,162,Established,7
98,487,Established,7
99,162,Established,7
100,25,Established,7
101,56,Local,7
102,162,Established,7
103,189,Established,12
104,56,Local,7
105,487,Established,7
106,56,Local,7
107,4700,Established,7
108,365,Established,3
109,363,Established,7
110,56,Local,7
111,209,Established,7
112,56,Local,7
113,172,Established,7
114,524,Established,7
115,10,Established,3
116,971,Established,7
117,56,Local,2
118,56,Local,7
119,316,Established,12
120,619,Established,12
121,619,Established,12
122,971,Established,7
123,56,Local,7
124,475,Established,7
125,634,Established,7
126,619,Established,12
127,133,Established,7
128,971,Established,7
129,56,Local,7
130,83,Established,12
131,56,Local,2
132,56,Local,7
133,46,Established,12
134,172,Established,7
135,56,Local,7
136,56,Local,7
137,89,Established,7
138,56,Local,7
139,56,Local,7
140,56,Local,2
141,619,Established,12
142,209,Established,7
143,56,Local,7
144,11,Local,7
145,914,Established,7
146,56,Local,7
147,293,Established,7
148,56,Local,7
149,56,Local,7
150,56,Local,12
